3 4492 4266
10620 4716 12348 94680 4464
hub : 305346, 677, 10181, 59.95, 206400, 2
hub : 807577, -13096, 9081, 43.56, 272100, 5
hub : 666231, -16739, 18551, 34.98, 234900, 2
hub : 964641, -6937, 23963, 38.72, 214200, 3
hub : 351105, -4636, 1024, 33.11, 180900, 4
hub : 156662, 1980, 30322, 42.13, 195300, 5
hub : 756653, 15443, 29007, 36.85, 285900, 3
hub : 379276, -26531, 12862, 33.55, 222000, 2
hub : 799888, -29428, 2740, 39.82, 250800, 3
hub : 707179, -38803, -1011, 49.94, 289800, 5
hub : 740881, -48164, -8332, 50.49, 256500, 4
hub : 543629, -54948, -17086, 36.96, 159300, 5
hub : 902644, -25573, 28964, 41.8, 185700, 4
hub : 629947, -27153, 40409, 38.5, 208200, 5
hub : 265776, -16855, 40318, 41.36, 184800, 3
hub : 559690, -6855, 46554, 48.62, 273900, 4
hub : 572402, -2795, 59847, 54.34, 191100, 5
hub : 920211, 4423, 48386, 35.2, 282900, 4
hub : 631889, 14163, 43771, 64.46, 230400, 5
hub : 495567, 10500, 58230, 65.56, 224700, 4
hub : 966447, 14031, 70992, 41.47, 156600, 4
hub : 261363, -25083, -6753, 64.24, 292800, 4
hub : 209477, -16574, -14036, 33.66, 220800, 3
hub : 201363, -22112, 49548, 59.4, 206700, 4
hub : 681274, -11905, 55422, 36.3, 284700, 2
hub : 253549, -17517, 65276, 33.44, 187800, 4
hub : 906349, -16871, 78555, 34.32, 296400, 5
hub : 622380, -26337, 74768, 56.65, 198300, 4
hub : 438432, -6778, 35972, 55.99, 265500, 4
hub : 197537, -37488, 32431, 63.03, 156900, 3
hub : 815737, -39621, 12278, 54.78, 172200, 3
hub : 868145, -51320, 14477, 59.4, 157800, 4
hub : 651399, -63912, 16844, 46.31, 190800, 5
hub : 773168, -76353, 11867, 63.58, 267600, 5
hub : 485389, -88710, 16186, 45.76, 235200, 2
hub : 263178, -84293, 29006, 43.12, 291900, 3
hub : 438742, -77790, 38211, 49.06, 199500, 2
hub : 409069, -27670, 61422, 42.46, 276600, 3
hub : 311344, -39146, 65662, 58.19, 191100, 3
hub : 398010, -45410, 53950, 40.48, 279900, 4
hub : 644510, -84056, 2622, 38.72, 227400, 4
hub : 215295, -36710, 43374, 36.19, 164400, 5
hub : 702576, -49924, 43608, 53.9, 203100, 3
hub : 385636, -58663, 51500, 60.39, 246900, 4
hub : 471001, -35064, 54571, 55.44, 257400, 3
hub : 561813, -16162, -1286, 47.52, 193200, 2
hub : 942546, -15020, 30242, 50.16, 177600, 2
