3 40415 5024
10350 5103 12402 112140 5064
hub : 919102, -5019619, -248893, 64.79, 292500, 3
hub : 554640, -5021108, -236484, 50.82, 177600, 2
hub : 450155, -5011374, -230295, 57.97, 155700, 4
hub : 566141, -5000462, -223082, 39.38, 174600, 2
hub : 360160, -4989091, -224600, 48.07, 153900, 2
hub : 328221, -4981119, -231928, 39.71, 254100, 4
hub : 750575, -4975531, -241162, 65.78, 256800, 2
hub : 467435, -5018920, -220734, 33.0, 285300, 3
hub : 299853, -5029761, -216944, 45.54, 257700, 4
hub : 539032, -5022395, -209279, 47.19, 224400, 2
hub : 932056, -5018952, -199287, 55.88, 283200, 5
hub : 540474, -5018449, -188962, 38.5, 164100, 5
hub : 205969, -5029346, -190026, 52.91, 238800, 5
hub : 214232, -5025925, -258908, 39.93, 222000, 4
hub : 727707, -5042227, -186029, 56.76, 192000, 5
hub : 347672, -5051058, -180193, 45.87, 167100, 3
hub : 408174, -5059069, -189305, 53.35, 200700, 5
hub : 785976, -5052490, -168267, 51.26, 192600, 5
hub : 585612, -4990878, -236048, 37.29, 207000, 4
hub : 104935, -5043177, -171992, 38.61, 241800, 5
hub : 771281, -5006530, -241950, 60.83, 167400, 4
hub : 247546, -5008420, -216883, 33.88, 273600, 5
hub : 165047, -5009114, -206441, 44.0, 274800, 3
hub : 150841, -5031148, -230225, 47.52, 281100, 2
hub : 672308, -5037699, -238087, 60.28, 212700, 4
hub : 767829, -5051249, -241009, 63.69, 292500, 3
hub : 614140, -5038295, -195828, 49.5, 190500, 2
hub : 200708, -5021645, -270979, 45.32, 269400, 5
hub : 927217, -5021867, -281039, 55.33, 288900, 2
hub : 135744, -4999736, -202397, 49.39, 270000, 2
hub : 663224, -4987133, -196963, 49.28, 279900, 4
hub : 387749, -4976036, -192178, 35.2, 297300, 5
hub : 410723, -4970565, -232072, 38.17, 294000, 2
hub : 684487, -5070204, -183158, 59.18, 296700, 2
hub : 410846, -5030063, -245640, 33.11, 168900, 2
hub : 875291, -5043463, -248779, 40.7, 277200, 3
hub : 769692, -4991684, -211751, 44.88, 215400, 5
hub : 373442, -4980051, -218308, 44.77, 290100, 3
